;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Product owner;35 000 € - 45 000 € par an;EXAMIN;Télétravail in 75014 Paris 14e;Postedil y a 25 jours;;https://fr.indeed.com/company/Examin/jobs/Product-Owner-537accf1d26cc1be?fccid=3bcece73b1b60eb7&vjs=3;['agile']
1;Product Owner - H/F;;Talan Opérations;Paris (75);Postedil y a 9 jours;;https://fr.indeed.com/rc/clk?jk=6c8aed830edb0ee6&fccid=f9e506d7b5c98f85&vjs=3;['agile', 'kanban', 'scrum']
2;Chef de projet digital / Product owner H/F;50 000 € - 60 000 € par an;Bouygues Construction Holding;78280 Guyancourt;Postedil y a 5 jours;;https://fr.indeed.com/rc/clk?jk=00e334da392ca23e&fccid=2c77cd17d50a14ba&vjs=3;[]
3;PRODUCT OWNER F/H;;KPMG;Courbevoie (92);Postedil y a 28 jours;3,9;https://fr.indeed.com/rc/clk?jk=6f6da42b0ff000a3&fccid=2dd390c3a48a7ed0&vjs=3;['agile', 'scrum']
4;Cheffe/Chef de projet maîtrise d’œuvre;;Affaires étrangères et du Développement...;Nantes (44);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=da066280f4c78d01&fccid=9ec9e67f826117ba&vjs=3;[]
5;Product Owner IT (F/H);;AXA;Paris (75);Postedil y a 18 jours;3,9;https://fr.indeed.com/rc/clk?jk=20bdf4ab829ab4ba&fccid=e4146564811f8846&vjs=3;['agile', 'modélisation', 'anglais', 'scrum', 'salesforce']
6;Product Owner IAM/PAM H/F;;TotalEnergies;La Défense (92);Postedil y a 10 jours;4,0;https://fr.indeed.com/rc/clk?jk=d9939f61305af561&fccid=69dbe38049ba4f7f&vjs=3;['agile', 'anglais']
7;Product Owner Client (h/f);;Maisons du Monde;Paris 8e (75);Postedil y a 4 jours;3,3;https://fr.indeed.com/rc/clk?jk=51e05c70aebd8e3a&fccid=98a961f3a80790bb&vjs=3;[]
8;Product Owner H/F;38 000 € - 55 000 € par an;DC CONSULTANTS;Paris (75);Postedil y a 5 jours;;https://fr.indeed.com/company/DC-CONSULTANTS/jobs/Product-Owner-0f9f118acba39685?fccid=c26d674981e22bc4&vjs=3;['jira', 'agile', 'confluence', 'anglais', 'scrum']
9;Product Marketing Intern - 2022 Start;;TikTok;Paris (75);Postedil y a 19 jours;;https://fr.indeed.com/rc/clk?jk=b02e9b8b4073036f&fccid=caed318a9335aac0&vjs=3;[]
10;Product Owner H/F;;MGEN;75748 Paris;Postedil y a 4 jours;3,0;https://fr.indeed.com/rc/clk?jk=1571b592b143d0ca&fccid=bcac10f5843638e7&vjs=3;['agile', 'scrum']
11;Stage - Proxy Product Owner (H/F);;Make Up For Ever;Neuilly-sur-Seine (92);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=b81c67fa1c0b362c&fccid=4b8e019bd6ecbb09&vjs=3;['jira', 'agile', 'anglais', 'scrum', 'google analytics', 'nifi']
12;Product Owner Commercial;45 000 € - 55 000 € par an;Fimwy;Hybrid remote in La Défense (92);Postedil y a 5 jours;;https://fr.indeed.com/company/FIMWY/jobs/Product-Owner-Commercial-2f48f7019760451f?fccid=45aeecfd0d6356d9&vjs=3;['jira', 'agile', 'anglais', 'scrum']
13;Senior Product Owner API H/F;;Worldline;Suresnes (92);PostedAujourd'hui;3,7;https://fr.indeed.com/rc/clk?jk=5fce44703fad4048&fccid=808f94192015f24a&vjs=3;['api rest', 'agile', 'anglais', 'scrum', 'nifi']
14;Product owner- Servair H/F;;Air France-KLM;Aéroport Paris-Roissy-Charles-de-Gaulle (95);Postedil y a 23 jours;4,1;https://fr.indeed.com/rc/clk?jk=6e8143200c80eee6&fccid=6b4c0887f234b9a2&vjs=3;['jira', 'agile', 'confluence', 'modélisation', 'anglais', 'nifi']
