;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Scientist (H/F);;Novencia;Paris (75);Postedil y a 3 jours;5,0;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ax-dZTyZPaeY82JYaWj1VgA3mPZgyi9qBRxfGBjY9acZQsLiaoTiQXd_SfMOL4Yv-4Sn_NIhUy8XfmId-XWKTeRofWGqlCKZPxnwIAwLPflOLXsnU6PzLhO0zwmYXqxDvP404kyKns6pvZAzxMHrknECRqSXoHcTcD6emn9j9G60D-0G66aRL9FmJKYj6xJFuFoykVXmuvzOxLN-scQbk9RK1kA71pKQpBtLVOqsiGrfOyB83FQCWvoWoDA-wlirRDTjb4VaXCMvJZjldOeDh66c7jSOpz_ARD6KePoI5GmBqywTRMxd0yNQN6nCyBUF7qtsO2lHmycydGvzCsnSsYlN4QQHAIWA39fA7Igx2ahhJg0rZojDaPMXSTCE5sjLrRXdw9yTfKQ6et0bm0haHOPHorS9Xv0pAVsnkJb1jRaSlCcvM_SIS1NnlSwEYF1boJGXml_l9nI4E8CCQOsacRZG1ci24mLknw6odu91Y8eit844CjPJ6T&p=0&fvj=0&vjs=3;['agile', 'machine learning', 'data visualisation']
1;Data Analyst (F/H);;Novencia;Paris (75);Postedil y a 4 jours;5,0;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ax-dZTyZPaeY82JYaWj1VgA3mPZgyi9qBRxfGBjY9acZQsLiaoTiQXd_SfMOL4Yv_2IwLdj2FFH36ZZk2r_xcI-w2IFqeQpIy9u5LvKG9NKpnOvHTLxst-fOQbP07umNq7ZkwfFgOCAH0xNxZjtaXYDDCwBHVwi1myCypGw88ePQPCdT6_K1-dJujheK9Oo3aa_MQXZQes5bZAh2hbTGPZRKykYIvSOZMJ5JWexQ-0qXVsqFsvXRntiFBS5K0unjNDyQVN6M04wjW_Swmt7gaF3Kqhzz6BB9f-8Kf6ZzGXPhp848h9SLyUfhalaTBXUQdq9vMUa3h3yZ2Rm3gFIQD2Gx8_TBJNSq6FE1V_TGjQh9b4lgAJGQjJh_I-So4Hs4uooVRGuYC2TwbkyQgTinxi92hXxgrLqmVmsoNKXNOrXgr16XyU4FWFByT-oicPSd8liO19l5BHXOKdIkGwKhOR5I9Vit8LOjA=&p=1&fvj=0&vjs=3;[' r ', 'python', 'agile', ' sas ']
2;DATA ANALYST (H/F);;Verisure SAS;92160 Antony;Postedil y a 4 jours;3,9;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAigdryULgRL76ptdOT_bjStNtb5_VfArVerkNyH03hrcKTIlS2VO1ryV7xizb3COeliCvGHL2RXbOkxAqOGEz0alDyXlOAY8drgOXgR6hvZuOq7zHP_Vs6sl7aJ9KNjIz5OTogrC69U3FHddV8Dm2g8AhNM5NLFOaXBtsXFD9fSjn62rxGjPtHxXob5A2IovVOJ8IWJw6ss5l2tE7AefnS6BMyCvxPKXSdpGmEPv5q4uEcuU1gGNY3mztQWpo8l8fX_PvSHUmaFgFlNtjBYwqN024cFtN8dD48a-XQ2Mz7Avs84A_3IHV205Sq5p8PBW6f2gogx5Xk7aWix0OxXImLUIevgfeZqU42sp_BUZyhtezwrPXzvaCwGpygyk6PemO5MkV7viGz8y8gTd_B944ZgR5-EROIUrCUEKMUq3vvoemTUVozsVfSjJ-6zDBYsurqodwcDWrBkRhGeJupBi1E85wHhq3XbH0H8SvHsU7jhhoIikvbYkCo2djwsHbVX10XItwPscV--9Lbd76oPq7vr5f7bBtoeSbnyXCfekWutTqjuLoxW88GSv3n4vT0AeyW75vsmMy48yLCkq7vSkw3tsolCZ1jJrZVLsWsTTWkzQPj4NQKb-V&p=2&fvj=0&vjs=3;[]
3;Consultant Tableau – Data Analyst (F/H);;Novencia;Paris (75);Postedil y a 6 jours;5,0;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ax-dZTyZPaeY82JYaWj1VgA3mPZgyi9qBRxfGBjY9acZQsLiaoTiQXd_SfMOL4Yv-15h5r9yKMc1knCzw_RPLJDINKp8Ec2xv598d4chadUAEypoQjgnTGhxF9E_BS8ZRPNO1aHG9NH4_HogT9m2SoxdIltXyqBDLOWTRvbBLqm9Y4YV9nn1bRpxmHiMqo5caBPvbSDmL2o8CY-6fCK2rfjkLHMz9u0T0P4UbxHPWz4o9C7rtk9GR4aPokq9gYaGdawzvgjBJLml0InxOi-XR8CkKWCMdQTNGpWQl2esSLQQxUzrRTmo75h-lVglrZ64-LTtAekb6yYJ5YrJk2_s_uIJNKHLhfHfR1H6_d040cX7RIAdnOUQSF89nMA9Q9hfOtVowHj7cQTyeA4jhxczkZDSFF9k3kL0F5jSt4_oHHlTRySVEiWSmmOPL0ojwEbdrhcTlVJV6OCmXUKDM14COPfA0yD4ddknuelECKcbY8zfSTxhFd_5HFqthEaszMJpSio9osXMF30CblcOMXeKS7&p=3&fvj=0&vjs=3;['tableau', 'datawarehouse', 'agile', 'data visualisation']
4;Data Analyst Junior (H/F);;Winamax;Paris (75);PostedAujourd'hui;4,0;https://fr.indeed.com/company/Winamax/jobs/Data-Analyst-Junior-ee809244efd39a99?fccid=ef842149939dc038&vjs=3;['python', 'sql', 'machine learning', 'data visualisation', 'nifi', 'pandas', 'plotly', ' sql']
5;Data scientist H/F (IT);;Synelience;Puteaux (92);Postedil y a 4 jours;;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOakjo4B2-N_SfFlCg-QCvnLMqMmiEbvPaBrw7WG-yYxTKxYeXDGPIvTQrFjKuN4NQe1I_OVxpZbjZK-992J9fTXDrNU2uV6KqHEjm8afxIP4esFm6LUslmtYRNifSeCGPhiBHSexMJ7oIA_sD2TG391XYv3TQvPjJGXYNXooEzQkcyxebUhgYPluswhF2y4EASLRB_LaO3vQfvlt770T6SXc7x9Ku4K7jFZg8bXfeUoC9-LoQ1TTIowNyx9UQ_eNfmgeCe5slr1fVljPZBpmhbCwvdu9oVNJmNCSjMvhuAVBtcWTUD72ueYdZcPeUraS3v7pmHA0z3yLv24H5pW_ZbKxS169eWFij-Lyav80Scb9RuCVYbm_H0lz6_S66D_euLCZp3B6RjQ5KGFXw9VEKPpUhPkL--T-Y5IAcqB7Fi_1OxMf-bCGpwBUN7gOvzazuOLSCTjd2AkqQ74Ox7FOIgpsN-EYqiGNf4xHEsvdMW4i2Ogny6iG_G-KblTucLhPUFERkC8W83wS45urBnaE6Orl7ri_y7ISWtkLXl8uhGHK0YTFJ5hhMOzOCixqW_YbY7nE74g-xyPj3-qbc5Idp7XrlMq4pQpD2SjyKi1-fcfZMMXTlb6WmroTfx-YRicKY4w==&p=5&fvj=0&vjs=3;['tableau', ' r ', 'python', 'sql', 'tableaux de bord', 'prédiction', ' sql']
6;Data Scientist H/F;2 362 € - 4 567 € par mois;MP DATA;92100 Boulogne-Billancourt+ 1 lieu;PostedPubliée à l'instant;;https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-c6f224797801e3e5?fccid=9b246b5aaacc1ef2&vjs=3;['aws', 'azure', 'gcp']
7;Data Analyst (H/F) (IT);55 000 € - 70 000 € par an;HR-TEAM;Paris (75);Postedil y a 4 jours;;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOakjo4B2-N_SfFlCg-QCvnLMqMmiEbvPaBueI9iNJ92Ub-kLPp4hk5NZZL-wWHn7cgy8QxBeaTMzX9veApRnQ7yTfX3vGl5xmOWkG71yreYBu3HqNgFuRkAbW6--xCEeRjXn7VJdYtjYBlW-vSTsRej_iP6kGQLH0sN3JRAU0yv3Za2PWF-wJk35ZFGGSCOPoEagF3LiL8xUpf9WGHI_OMfirnExC0TDyo1qKbpuV6fjqdKQ1-pSysR-mUnWBRpDZ7mTnO0twYtn1Ar_fVVr2fhE4ifOMjCIwY3A-lNTIIOZWsuvm-XBmdx4GPY2-vnrjO5n4uWId3PCStQ5E145tGv3UBbtwjLWvkeP2fgMqh2AzU-xAKYXVMOTz00nkcIsj8nVj7ZvFdOV3J2lUw2rFRlaucXXq8Xps1asxwnxas3SUA6seVmW5Q5F8pIudvgPvvxzotzp5RPdxbgV-WD53suXfrdXjs_gqMxBdQcYBjV0kUNsDtArw8kt9XsrTJJNP34P2TKvJgiAR1_FMflyf6__F26tqoDfvhMYR4p6opZLQM1YoUdsmdbzuSp8l_uA93tkX6d-FT-jZG6xftnsUSldmI45Y0GGMinS0OPrmniX4eQSRYzs6shToozUrdZO46g==&p=7&fvj=0&vjs=3;['tableau', 'business object']
8;Data Scientist (H/F) (IT);50 000 € - 75 000 € par an;CITECH;Marseille (13);Postedil y a 5 jours;3,3;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOakjo4B2-N_SfFlCg-QCvnLNn7tVbJLn-tokwvUFUhUwHbT1eQeSugRWNOw06clMKuVuyaTXCIFA0yRFO2pbhmWCOTVGgj__VcvCmNDX_Wn0Ej9gQaV5iFKJvixYmWxoLHQ5hWdqD8dd3T9bOcWvmaCVDr5Mo3diTOQXcJCqtJ6qdCvSMQXjwwZqAsNkQW5V_kKIE27xgbCsP5UrSHxSK1zZK69obDkH3jA3ajprrEEdEeQ-hBi5XmTyx_x0DJ6TecKaRoRN06xsH42z99zrxSXOWwBmSRBqfqUOCZpLOGDFpJIwBag8vKxOTSrBj8gdavdR6RgXifabg-YjLXYxi5PId8xvbuuph-HxlPfyBFS6C64bt_ABix_CyJxXIl0Nhv-eQ--6dGrJB7RqNjaPbct7HKA9cVWSLVU3XePGgfOBoSH6DEvKPC56w2mjxi1g1kuTo1dc5JtyxPXq1Mh-q9O2bO7uxgFKemncAVSyvJHfzeLgI_RhD1l2Z3dzsrp-JcrlgaYWJLaP9C3tkMIZ61EBEf9Wg4IBH3TmAFQS56yQRVICI_yoPwqZMuHkm_MngYS5iuSS6apo7Yd9bM-I5BaDAKVR_C8mrdnBCeTXhqUgUWr-nZDDtNtLPT-TXUpqRZQ==&p=8&fvj=0&vjs=3;[]
9;Data Analyst-FIAT;;Binance;Paris (75);Postedil y a 1 jour;4,0;https://fr.indeed.com/rc/clk?jk=07a17070eb6eeb03&fccid=ac2ee5578fa99fc9&vjs=3;['qlik', 'tableau', 'powerbi', ' r ', 'python', 'spark', 'hive', 'sql', 'hadoop', 'google analytics', 'data visualisation', ' sql', 'google analytics']
