;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Scientist Recommendation Systems Confirmed;;PERSÉ BEAUTY;Paris (75);PostedAujourd'hui;;https://fr.indeed.com/company/Prose/jobs/Data-Scientist-Recommendation-Systems-Confirmed-f5e361bb322c64f8?fccid=889dc0dbb32a57e6&vjs=3;['python', 'agile', 'flask', 'django', 'numpy', ' ann', 'pandas']
1;Responsable de Projets Data - F/H;;Guerlain;Paris (75);PostedAujourd'hui;4,1;https://fr.indeed.com/rc/clk?jk=c53bce852ac831ad&fccid=f3225756b24da898&vjs=3;['gcp', 'anglais', 'nifi']
2;Data Scientist H/F;2 362 € - 4 567 € par mois;MP DATA;92100 Boulogne-Billancourt;Postedil y a 3 jours;;https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-c6f224797801e3e5?fccid=9b246b5aaacc1ef2&vjs=3;['aws', 'azure', 'gcp']
3;Data Architect;;Ysance;92300 Levallois-Perret;Postedil y a 2 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Architect-58e09f2485399be0?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'aws', 'azure', 'gcp', 'dataiku']
4;Data Analyst (F/H/NB);;Ubisoft;94160 Saint-Mandé;Postedil y a 1 jour;3,8;https://fr.indeed.com/rc/clk?jk=ddc77e4091db4143&fccid=237908de095b6446&vjs=3;['qlik', 'tableau', ' r ', 'python', 'sql', 'redshift', 'anglais', 'ssas', 'data visualisation', 'nifi', ' sql']
5;DATA ANALYST H/F;;Business & Decision;Paris (75);PostedAujourd'hui;3,2;https://fr.indeed.com/rc/clk?jk=398ea456cad91fbd&fccid=d79003eff0d435ec&vjs=3;['qlik', 'talend', 'tableau', 'power bi', 'aws', 'azure', 'python', 'sql', 'gcp', 'snowflake', 'anglais', 'nifi', ' ann', ' sql']
6;DATA ANALYST H/F;;gfi;Saint-Ouen (93);Postedil y a 2 jours;3,0;https://fr.indeed.com/rc/clk?jk=ca2ba7a2942610a0&fccid=e463fc7104734a53&vjs=3;['python', 'agile', 'vba']
7;Data analyst Dataviz(F/H);;Digital Partners;75004 Paris 4e;Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=de5f7256c75e06ac&fccid=4f7c91e2885764ae&vjs=3;['datastage', 'qlik', 'aws', 'glue', 'db2', 'qliksense']
8;Ingénieur Data-(H/F);;Société Générale;La Défense (92);Postedil y a 6 jours;3,9;https://fr.indeed.com/rc/clk?jk=1dc8a580dc1aa9e2&fccid=df6948c9b8da6236&vjs=3;['python', 'sql', 'agile', 'modélisation', 'machine learning', ' ann', ' sql']
9;Chargé d'études et de statistiques - Data scientist F/H;40 563 € - 64 394 € par an;CNAF;Télétravail temporaire in 75014 Paris 14e+ 1 lieu;Postedil y a 2 jours;;https://fr.indeed.com/company/CNAF/jobs/Charg%C3%A9-%C3%89tudes-Statistiques-7a8f576eb00c06a6?fccid=8c92489b6140f16f&vjs=3;[' r ', 'python', 'modélisation', ' sas ']
10;Data Analyst;;Voodoo;Paris (75);Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=ff9d9828757a6941&fccid=8ef7e881dac94697&vjs=3;['tableau', ' r ', 'python', 'sql', ' sql']
11;PMO Data Center F/H;;welinkit;Clamart (92);PostedAujourd'hui;5,0;https://fr.indeed.com/rc/clk?jk=013678625484d87b&fccid=07661a4e5e3582cf&vjs=3;['nifi']
12;Data Analyste;;Le Groupe La Poste;Ivry-sur-Seine (94);Postedil y a 2 jours;3,7;https://fr.indeed.com/rc/clk?jk=c6bf6d55620acaae&fccid=603bc4f64b36c014&vjs=3;['talend', 'java', 'tableau', 'power bi', 'python', 'sql', 'snowflake', 'modélisation', 'anglais', 'tableaux de bord', 'scala']
13;Data Scientist;;Skello;Paris (75);Postedil y a 5 jours;;https://fr.indeed.com/company/Skello/jobs/Data-Scientist-edd7191099172c86?fccid=624b4ac43f1b1794&vjs=3;['python', 'sql', 'agile', 'machine learning', 'numpy', 'pandas', ' sql']
14;Ingénieur data pour métriques de Risques de Crédit-(H/F);;Société Générale;La Défense (92);Postedil y a 6 jours;3,9;https://fr.indeed.com/rc/clk?jk=9da5370245b7f2f2&fccid=df6948c9b8da6236&vjs=3;['python', 'spark', 'sql', 'pyspark', 'modélisation', 'cartographie', ' ann', 'pandas', ' sql']
