;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Front End Engineer Dataiku Online - Paris or Remote France;;Dataiku;Télétravail;Postedil y a 22 jours;;https://fr.indeed.com/rc/clk?jk=53fd719381b2d22a&fccid=4640437a3109c91f&vjs=3;['java', 'scala', 'dataiku']
1;ETL Semantic Data Engineer European Institution in Ispra - I...;;EKXEL IT Services & Financial Engineering;Télétravail;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=69f528d3cb9d5ab4&fccid=2bea0850b8ee84f6&vjs=3;['java', 'python', 'mongodb', 'scala', 'mongo']
2;Data Engineer F/H;;NODYA GROUP;Hybrid remote in Levallois-Perret (92)+ 1 lieu;Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=854dc5241bbc2d5f&fccid=a83acc0245128498&vjs=3;['tableau', 'powerbi', 'aws', 'azure', 'spark', 'hive', 'hadoop', 'anglais', 'nifi']
3;Data Engineer BI;;Meetic;Télétravail in 75009 Paris;Postedil y a 19 jours;3,8;https://fr.indeed.com/rc/clk?jk=91138602d9b63d72&fccid=08cedfdd897011ae&vjs=3;[]
4;Urgent - Data Engineer / Freelance;400 € - 450 € par jour;Ï-NAYA Consulting;Puteaux (92);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=b55211de51b73187&fccid=d0afa524610e62ae&vjs=3;[]
5;Data Engineer;;Amazon EU SARL (FR);Paris (75);Postedil y a 30+ jours;3,5;https://fr.indeed.com/rc/clk?jk=66df8589a33c4785&fccid=fe2d21eef233e94a&vjs=3;['java', 'aws', 'python', 'sql', 'redshift', 'oracle', 'postgresql', 'linux']
6;Data Engineer;;Scaleway;Télétravail in 75015 Paris;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=7b6ce248733ef8c6&fccid=cafe456cbb706309&vjs=3;['talend', 'gitlab', 'docker', 'python', 'sql', 'airflow', 'ssrs', ' ssis', 'linux', 'nifi', ' sql']
7;Data Engineer - CDI;;FABERNOVEL;Paris (75)+ 1 lieu;Postedil y a 8 jours;;https://fr.indeed.com/company/FABERNOVEL-CODE/jobs/Data-Engineer-d08bbb5fbc692646?fccid=de6be08514f4f22f&vjs=3;[' git ', 'aws', 'azure', 'kafka', 'docker', 'spark', 'sql', 'gcp', 'airflow', 'ci/cd', 'datawarehouse', 'modélisation', 'scala', 'machine learning', 'nifi', ' sql']
8;Machine Learning Engineer - CDI - Paris;40 000 € par an;Soyhuce;Télétravail in Paris (75);Postedil y a 23 jours;;https://fr.indeed.com/company/SOYHUCE/jobs/Machine-Learning-Engineer-1fde43cda1d048d0?fccid=08950d9e033ad928&vjs=3;['aws', 'machine learning']
9;Data Engineer Confirmé (H/F/N) - Paris;;Ekimetrics;Paris (75);Postedil y a 30+ jours;3,0;https://fr.indeed.com/rc/clk?jk=506c9dc0a15ec75e&fccid=3fb68589a69677e6&vjs=3;['machine learning', 'nifi']
10;DATA ENGINEER h/f en CDI;;Tyredating;Lyon (69);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=3c4d79e38c883f80&fccid=671215e29fe9d58c&vjs=3;['java', 'power bi', 'sql', 'anglais', 'mysql', 'mongo', 'big query']
11;Data Engineer – F/H;;atecna;Lille (59)+ 1 lieu;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=07dc9dfd6619f28f&fccid=2f3c470da7ff2f86&vjs=3;[]
12;Data Engineer Big Data Confirmé H/F;;LCL;94811 Villejuif;Postedil y a 11 jours;3,6;https://fr.indeed.com/rc/clk?jk=f3680bdb1b78e8e7&fccid=0573667c055a9ed0&vjs=3;['java', 'gitlab', 'jenkins', 'tableau', 'kafka', 'python', 'spark', 'hive', 'sql', 'hadoop', 'jira', 'agile', 'cloudera', 'tableaux de bord', 'scala', 'elasticsearch', 'machine learning', 'intégration continue', 'dataiku', 'hdfs', ' sql']
13;Data Engineer;;Media.Monks;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=86cc7cf1c66f1f52&fccid=fa794d7aa4d73a51&vjs=3;['java', 'aws', 'azure', 'puppet', 'ansible', 'python', 'sql', 'gcp', 'airflow', 'terraform', 'apache', 'scala', 'linux', ' ann', 'problem solving', 'cloud tech', ' sql']
14;Data Engineer (H/F);;Sogeti;Toulouse (31);Postedil y a 4 jours;3,4;https://fr.indeed.com/rc/clk?jk=d7a714afcc3562d3&fccid=6eb97fc774cb61be&vjs=3;['qlik', 'java', 'github', 'gitlab', 'jenkins', 'tableau', 'kafka', 'docker', 'ansible', 'python', 'spark', 'hive', 'hortonworks', 'sql', 'hadoop', 'datawarehouse', 'jira', 'agile', 'confluence', 'cloudera', 'modélisation', 'anglais', 'kanban', 'scrum', 'mongodb', 'scala', 'elasticsearch', 'intégration continue', 'mongo', 'dataiku', 'hdfs', 'jupyter', ' sql']
