;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Consultant décisionnel H/F;35 000 € - 40 000 € par an;ONESYS;Télétravail in Vénissieux (69);Postedil y a 5 jours;;https://fr.indeed.com/company/Onesys/jobs/Consultant-D%C3%A9cisionnel-fefc3302c4b792a0?fccid=ee54788261aa9d97&vjs=3;['tableau', 'sql', 'datawarehouse', 'tableaux de bord', ' sql']
1;Développeur Administrateur Low Code OutSystems F/H;;SAVANE CONSULTING GROUP;Viroflay (78);Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=036eb6f0ba33ce49&fccid=1471e88a5c20b5c3&vjs=3;['java', 'sql', 'ci/cd', ' sql']
2;Développeur ERP - Domaine Musical H/F;32 000 € - 42 000 € par an;EXTERNATIC;Hybrid remote in Nantes (44);Postedil y a 1 jour;5,0;https://fr.indeed.com/rc/clk?jk=670d5353d980dbb4&fccid=c5f4e6a6742126b9&vjs=3;['talend', 'sql', ' php ', ' sql']
3;Senior Data Engineer F/H;;MANUTAN;Gonesse (95);Postedil y a 4 jours;3,9;https://fr.indeed.com/rc/clk?jk=dd9234235fa964f1&fccid=5b374feb34165a04&vjs=3;['aws', 'azure', 'python', 'data lake', 'sql', 'gcp', 'airflow', 'ci/cd', 'bigquery', 'redshift', 'data lake', ' sql']
4;Analyste - Concepteur Data H/F;;PEDRETTI;73290 La Motte-Servolex;Postedil y a 6 jours;2,7;https://fr.indeed.com/rc/clk?jk=8cda4ded2e522439&fccid=45bf7720694f2d33&vjs=3;['sql', 'datawarehouse', 'modélisation', 'sap bo', ' sql']
5;Data Engineer (H/F);;Extia;67000 Strasbourg;Postedil y a 1 jour;3,9;https://fr.indeed.com/rc/clk?jk=6c52bbeb7ad7914e&fccid=51f8790ad48982e0&vjs=3;['java', 'aws', 'python', 'data lake', 'gcp', 'scala', ' sas ', 'linux', 'machine learning', 'data lake', 'hdfs', ' ann']
6;Développeur DATA/ETL F/H à Niort (79) FREELANCE;400 € par jour;Wekey;Niort (79);Postedil y a 1 jour;;https://fr.indeed.com/company/wekey/jobs/D%C3%A9veloppeur-Data-ETL-F-H-Freelance-0e4649c4314643d1?fccid=1dd31c669c6d1cec&vjs=3;['talend', 'java', 'kafka', 'ansible', 'sql', 'postgresql', 'mysql', 'kanban', 'scrum', 'linux', 'nifi', ' ann', ' sql']
7;Business Analyst DATA (H/F);;Insitoo;Lille (59);Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=6592958ebd360ae4&fccid=8dfd3dd7e13d6913&vjs=3;['python', 'sql', 'api rest', 'snowflake', 'jira', 'oracle', 'agile', 'nifi', ' sql']
8;Consultant Data Management Services Senior (F/H);;Micropole;92300 Levallois-Perret;Postedil y a 6 jours;3,3;https://fr.indeed.com/rc/clk?jk=448a685aadf2653d&fccid=14835f3a1d6bbbcb&vjs=3;['datastage', 'talend', 'aws', 'azure', 'gcp', 'agile', 'modélisation', 'anglais', 'salesforce', ' c ']
9;Ingénieur Cloud;50 000 € - 60 000 € par an;Adsearch;Hybrid remote in Lyon (69);Postedil y a 4 jours;4,2;https://fr.indeed.com/rc/clk?jk=e0fe7d22f86c15ee&fccid=3542b66218432e78&vjs=3;['aws', 'ci/cd']
10;Data Engineer F/H;;Voyage Privé;Aix-en-Provence (13);Postedil y a 1 jour;3,4;https://fr.indeed.com/company/Voyage-Priv%C3%A9/jobs/Data-Engineer-F-H-ba950c4620199760?fccid=37029f0f039fb727&vjs=3;['github', 'gitlab', 'tableau', 'docker', 'python', 'spark', 'sql', 'airflow', 'ci/cd', 'hadoop', 'bigquery', 'apache', 'scala', 'elasticsearch', 'machine learning', 'dataiku', 'yarn', ' ann', ' sql']
11;Expert Cloud Data - CDI (F/H);;ASI;Rennes (35);Postedil y a 7 jours;3,5;https://fr.indeed.com/rc/clk?jk=03ba243d3d95ba74&fccid=a36241033202c4d7&vjs=3;['datastage', 'talend', 'azure', 'python', 'sql', 'databricks', 'oracle', 'postgresql', 'data factory', ' ann', ' sql']
12;Lead Développeur BI H/F;35 000 € - 45 000 € par an;EXTERNATIC;Cholet (49);Postedil y a 5 jours;5,0;https://fr.indeed.com/rc/clk?jk=c6c590b70affcb76&fccid=c5f4e6a6742126b9&vjs=3;['talend', 'power bi', 'azure', 'data lake', 'sql', 'agile', 'ssrs', 'ssas', 'sap bo', 'data lake', ' sql']
13;Data Analyste (Entre 3 et 6 ans) / Freelance;330 € - 340 € par jour;WorldWide People;Paris (75);Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=ca5225feb8d7adc0&fccid=93528db74cc0853c&vjs=3;[]
14;Développeur .net F/H;;KEYTEO;Lyon 2e (69);Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=fe0451913b6aa263&fccid=1c8fa7a02e9540fa&vjs=3;['sql', 'oracle', 'scrum', ' c# ', ' sql']
