;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Platform Customer Success Manager (F/H);;LVMH Holdings;Paris (75);Postedil y a 9 jours;;https://fr.indeed.com/rc/clk?jk=da323f636e8e4d64&fccid=034f1451ed0736e7&vjs=3;[' ann']
1;Head of Data Analytics;;Thomas Search Consulting;Télétravail;Postedil y a 9 jours;;https://fr.indeed.com/rc/clk?jk=a195dff62958de0e&fccid=84ae94cfdbaeca98&vjs=3;['anglais']
2;Data Analyst;;UGAP;77420 Champs-sur-Marne;Postedil y a 1 jour;3,2;https://fr.indeed.com/rc/clk?jk=14907b7170451121&fccid=63fa95c3120aaa7c&vjs=3;['machine learning']
3;Data Analyst (F/H);;BPCE SA;Paris (75);Postedil y a 22 jours;3,3;https://fr.indeed.com/rc/clk?jk=4bbc1409e03ed19e&fccid=68928fde239d7c6b&vjs=3;['tableau', 'power bi', ' excel ', 'tableaux de bord', ' sas ', 'alteryx']
4;SUPPLY PLANNING DATA ANALYST H/F;;Sisley;Saint-Ouen-l'Aumône (95);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=dea6d92bee7a7e51&fccid=57b60f1b017dde49&vjs=3;['tableau', ' excel ', 'anglais', 'nifi']
5;Data analyst F/H;;Bpifrance;Maisons-Alfort (94);Postedil y a 5 jours;3,9;https://fr.indeed.com/rc/clk?jk=05e4c00bf3ddc78a&fccid=f8c0d47ed8e5c00b&vjs=3;['python', 'sql', 'cartographie', ' sql']
6;Data analyst H/F H/F;;Nexton Consulting FR;Paris (75);Postedil y a 26 jours;;https://fr.indeed.com/rc/clk?jk=08a5fbfdc3974b97&fccid=fd1831126d38aa58&vjs=3;[]
7;Consultant(e) - Data;;iQo;Paris (75);Postedil y a 9 jours;;https://fr.indeed.com/company/IQO/jobs/Consultant-c194983eec4bfadf?fccid=d496e765d6c33085&vjs=3;['anglais']
8;Data Analyst (H/F);;Volvo Group;Lyon (69);Postedil y a 30+ jours;4,2;https://fr.indeed.com/rc/clk?jk=85de7aa34935f258&fccid=0f63e537c80f169b&vjs=3;['qlik', 'power bi', 'azure', 'python', 'sql', 'databricks', 'agile', 'modélisation', 'anglais', 'data visualisation', 'nifi', ' sql']
9;Data Scientist H/F;3 000 € - 4 567 € par mois;AiScreenings;Télétravail in Paris (75);Postedil y a 10 jours;;https://fr.indeed.com/company/AiScreenings/jobs/Data-Scientist-5c0abb614e65b49a?fccid=2a7cc90f6d26f432&vjs=3;['aws', 'azure', 'docker', 'python', 'agile', 'anglais', 'machine learning', 'tensorflow', 'pytorch', 'nifi']
10;Data Scientist-Analyst GERS (H/F) - Boulogne-Billancourt (Fr...;;Cegedim;92100 Boulogne-Billancourt;Postedil y a 19 jours;3,0;https://fr.indeed.com/rc/clk?jk=34549ae903b272c6&fccid=8397d27fa71913c8&vjs=3;['qlik']
11;Ingénieur data pour métriques de Risques de Crédit-(H/F);;Société Générale;La Défense (92);Postedil y a 9 jours;3,9;https://fr.indeed.com/rc/clk?jk=9da5370245b7f2f2&fccid=df6948c9b8da6236&vjs=3;['python', 'spark', 'sql', 'pyspark', 'modélisation', 'cartographie', ' ann', 'pandas', ' sql']
12;CRM data Analyst F/H;;Fred Paris;75001 Paris;Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=f0b48294dd95f6a6&fccid=023b751ce410660f&vjs=3;['tableau', 'sql', 'anglais', 'tableaux de bord', 'gdpr', 'bonne communication orale et écrite', ' sql']
13;Data scientist;;Groupe Demeter;Neuilly-sur-Seine (92);Postedil y a 17 jours;;https://fr.indeed.com/rc/clk?jk=5e198659a013f1b0&fccid=97050cc4f7717b8f&vjs=3;[' r ', 'python', 'spark', 'modélisation', 'anglais', ' sas ', 'machine learning', 'dataiku', 'data visualisation']
14;Consultant Fonctionnel Data F/H;;MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES...;Hybrid remote in Paris 1er (75);Postedil y a 26 jours;;https://fr.indeed.com/rc/clk?jk=9d53bed6655d290d&fccid=4a9af30983fbd3e3&vjs=3;['agile', 'anglais']
