;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Alternance Cloud & Cybersécurité débutant H/F;1 980 € par mois;42c;75020 Paris 20e;Postedil y a 7 jours;4,4;https://fr.indeed.com/company/42c/jobs/Alternance-Cloud-Cybers%C3%A9curit%C3%A9-D%C3%A9butant-612b099963011893?fccid=9c8392732eab5553&vjs=3;['aws', 'azure', 'linux']
1;Expert(e) Cloud H/F;;Labsoft;Paris (75)+ 1 lieu;Postedil y a 1 jour;4,3;https://fr.indeed.com/rc/clk?jk=f8390e4a5403db79&fccid=d1b96f6b1b04d82a&vjs=3;[' ann']
2;Ingénieur systèmes et cloud H/F - Stage de fin d'études;950 € par mois;ABBANA;Paris 12e (75);Postedil y a 3 jours;;https://fr.indeed.com/company/Abbana/jobs/Ing%C3%A9nieur-Syst%C3%A8mes-Cloud-2040cc751dfcf0e3?fccid=3dfcfa0d2ec26cf4&vjs=3;['aws', 'azure', 'anglais', ' ann']
3;Stage Cloud & DevOps - GCP Landing Zone (H/F);1 400 € par mois;Ippon technologies;75116 Paris 16e;PostedAujourd'hui;;https://fr.indeed.com/company/Ippon-technologies/jobs/Stage-Cloud-Devops-86d82ed75ac8f924?fccid=9729ce5952c9416f&vjs=3;['gitlab', 'aws', 'azure', 'gcp', 'terraform']
4;Ingénieur en Cybersécurité, Réseau et Cloud H/F;;EDF;Nanterre (92);Postedil y a 1 jour;3,9;https://fr.indeed.com/rc/clk?jk=a0181c797353e1db&fccid=0103fd28b454bd4a&vjs=3;['agile', 'gdpr']
5;Administrateur système et réseaux H/F;30 000 € - 35 000 € par an;ABBANA;Paris 12e (75);Recrutement régulier;;https://fr.indeed.com/company/Abbana/jobs/Administrateur-Syst%C3%A8me-R%C3%A9seaux-226f8f6691b0891f?fccid=3dfcfa0d2ec26cf4&vjs=3;['anglais', ' ann']
6;Agent de support informatique en français - Travail en Polog...;;Capgemini;Paris (75);PostedAujourd'hui;3,8;https://fr.indeed.com/rc/clk?jk=a3a7eb0a3688a80d&fccid=105ecfd0283f415f&vjs=3;['aws', 'azure', 'anglais', 'itil']
7;Trainee aynchronous Cloud Back-End Development;;Altair Engineering;Antony (92);Postedil y a 1 jour;4,2;https://fr.indeed.com/rc/clk?jk=1a3ff84b40bf16dc&fccid=3453268f43beb582&vjs=3;['gitlab', 'aws', 'azure', 'docker', 'python', 'anglais', 'scala', 'linux']
8;Cloud Active Defense Strategies Simulation and Evaluation F/...;;SAP;06254 Mougins;Postedil y a 5 jours;4,3;https://fr.indeed.com/rc/clk?jk=ec71b9745b491662&fccid=156c7820d1988640&vjs=3;['github', 'python', 'machine learning']
9;Ingénieur Cloud Junior PARIS H/F;;Capgemini;Paris (75);Postedil y a 5 jours;3,8;https://fr.indeed.com/rc/clk?jk=60dd9b00a08a8aee&fccid=105ecfd0283f415f&vjs=3;['aws', 'azure', 'python', 'terraform', 'linux']
10;TechLead Cloud / Kubernetes H/F;;EDF;Hybrid remote in Nanterre (92);Postedil y a 1 jour;3,9;https://fr.indeed.com/rc/clk?jk=84244205d4d21441&fccid=0103fd28b454bd4a&vjs=3;['agile', 'kanban', 'scrum']
11;Strategy and Operations Associate, Google Cloud;;Google;Paris (75);Postedil y a 1 jour;4,3;https://fr.indeed.com/rc/clk?jk=9754d7c658ee7fdc&fccid=a5b4499d9e91a5c6&vjs=3;['sql', 'scala', ' ann', ' sql']
12;Data Scientist;;Ysance;92300 Levallois-Perret;Postedil y a 2 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Scientist-85e5cc4020625454?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'aws', 'azure', 'python', 'spark', 'sql', 'databricks', 'gcp', 'pyspark', 'modélisation', 'scala', ' sas ', 'machine learning', 'dataiku']
13;Machine Learning Engineer;;Qorvo;Paris (75);Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=0a1591655e00fac9&fccid=f0f57785b56c2161&vjs=3;['python', ' c ', 'machine learning', 'tensorflow', 'pytorch', 'nifi', 'c++']
14;Data Analyst;;Ysance;92300 Levallois-Perret;Postedil y a 2 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Analyst-6d8c05dcb5379b79?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'aws', 'azure', 'python', 'sql', 'gcp', ' sas ', 'alteryx', 'dataiku', 'spss']
