;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Scientist - Documents Analysis;;Shift Technology;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=c5b3230348e1e79c&fccid=8fed3c2c731465ef&vjs=3;['scala']
1;Data Analyst;;Quadient;Bagneux (92);Postedil y a 30+ jours;3,0;https://fr.indeed.com/rc/clk?jk=e475b916f364727d&fccid=9204a10a3a1e6a32&vjs=3;['oracle', 'scala', 'salesforce']
2;Chargé(e) d’études – Data Analyst – Data Scientist Junior;38 000 € par an;HOLOMNIS;Paris (75);Postedil y a 19 jours;;https://fr.indeed.com/rc/clk?jk=8ce0495d4bf3b275&fccid=61f9f926a3fbb751&vjs=3;[' excel ', ' sas ', 'spss', ' ann']
3;Data Analyst - CDI;;Cartier;Paris (75);Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=2df34850b7a2e786&fccid=bc128eeb6f779630&vjs=3;[]
4;DATA SCIENTIST;;Plastic Omnium;Venette (60);Postedil y a 19 jours;3,5;https://fr.indeed.com/rc/clk?jk=2cb54b8b4c8d6b28&fccid=aaec0480e2e19692&vjs=3;['python', 'data lake', 'machine learning', 'data lake']
5;Data Engineer Junior CDI - H/F;;Capgemini;Paris (75);Postedil y a 16 jours;3,8;https://fr.indeed.com/rc/clk?jk=6c4ed5c174132f41&fccid=105ecfd0283f415f&vjs=3;[]
6;Data Analysis GDPR F/H;;W.G. CONSULTING;Hybrid remote in Asnières-sur-Seine (92);PostedPubliée à l'instant;;https://fr.indeed.com/rc/clk?jk=95ad2b298f286a71&fccid=90fa53a48e1420c4&vjs=3;['gdpr']
7;Data Analyst (H/F);;Natixis;Charenton-le-Pont (94);Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=89e97180bb66089f&fccid=09e12974662898fb&vjs=3;['tableau', 'python', 'sql', 'gcp', 'tableaux de bord', 'data factory']
8;Assistant(e) Data analyst & performance opérationnelle F/H;;VINCI;Nanterre (92);PostedAujourd'hui;3,9;https://fr.indeed.com/rc/clk?jk=85f9754b6c78bdd3&fccid=7ad3c630bb040940&vjs=3;[' excel ', 'sql', 'business object', ' ann', ' sql']
9;Analyste données produits;;Saint-Gobain;Paris 19e (75);Postedil y a 10 jours;3,9;https://fr.indeed.com/rc/clk?jk=47dfb43cc882f0ce&fccid=d7c7bd31a502f022&vjs=3;[' excel ']
10;Data Engineer F/H (CDI);;Lunii;75011 Paris 11e;Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=a557caf48a0d2737&fccid=6e7c660f07e2ed51&vjs=3;['talend', 'tableau', 'aws', 'sql', 'gcp', 'bigquery', 'snowflake', 'agile', 'modélisation', 'postgresql', 'scrum', 'looker', 'nifi']
11;Trainee - Data Scientist;;SBM Offshore;Monaco (06);Postedil y a 15 jours;4,2;https://fr.indeed.com/rc/clk?jk=46f7582a6d53b163&fccid=a9a5024d4b747148&vjs=3;['python', 'machine learning']
12;Data Scientist;;Crédit Agricole d'Ile-de-France;Paris (75);Postedil y a 30+ jours;3,8;https://fr.indeed.com/rc/clk?jk=e655d9dc3086c478&fccid=7077ed64aecd53a3&vjs=3;[' r ', 'python', 'machine learning']
13;Data Scientist;;Skello;Paris (75);Postedil y a 7 jours;;https://fr.indeed.com/company/Skello/jobs/Data-Scientist-edd7191099172c86?fccid=624b4ac43f1b1794&vjs=3;['python', 'sql', 'agile', 'machine learning', 'numpy', 'pandas', ' sql']
14;Data Scientist Recommendation Systems Confirmed;;PERSÉ BEAUTY;Paris (75);Postedil y a 2 jours;;https://fr.indeed.com/company/Prose/jobs/Data-Scientist-Recommendation-Systems-Confirmed-f5e361bb322c64f8?fccid=889dc0dbb32a57e6&vjs=3;['python', 'agile', 'flask', 'django', 'numpy', ' ann', 'pandas']
