;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Consultant(e) QA DATA;;Byron Group;92521 Neuilly-sur-Seine;Postedil y a 30+ jours;;https://fr.indeed.com/company/Byron-Group/jobs/Consultant-QA-Data-e6aa353a0e91cbbe?fccid=89c6ad8e3a302b2a&vjs=3;['gitlab', 'tableau', 'aws', 'sql', 'ci/cd', 'snowflake', 'jira', 'oracle', 'agile', 'confluence', 'terraform', 'anglais', 'nifi']
1;Data Scientist F/M/D;;Vestiaire Collective;Paris (75);Postedil y a 11 jours;3,0;https://fr.indeed.com/rc/clk?jk=15d7259cebf6ef12&fccid=536763c219f0ad5b&vjs=3;['gitlab', 'aws', 'azure', 'docker', 'python', 'sql', 'gcp', 'airflow', 'snowflake', 'agile', 'postgresql', 'scala', 'elasticsearch', 'machine learning', 'tensorflow']
2;DATA SCIENTIST F/H;;KPMG;Courbevoie (92);Postedil y a 23 jours;3,9;https://fr.indeed.com/rc/clk?jk=68e898f2381037b7&fccid=2dd390c3a48a7ed0&vjs=3;['power bi', 'anglais', 'salesforce', 'google analytics', 'data visualisation']
3;Consultant Product Data Management (F/H);;Micropole;92300 Levallois-Perret;Postedil y a 1 jour;3,3;https://fr.indeed.com/rc/clk?jk=059391803a468a68&fccid=14835f3a1d6bbbcb&vjs=3;['modélisation']
4;Data Analyst;;L'Oreal;Clichy (92);Postedil y a 18 jours;4,1;https://fr.indeed.com/rc/clk?jk=b504f3e42a93816f&fccid=ec8a0bd60be9a6f5&vjs=3;[' excel ', 'adobe campaign']
5;Junior Data Analyst- Insights & Data Solutions (D/F/M);;Dailymotion;75017 Paris;Postedil y a 15 jours;3,9;https://fr.indeed.com/rc/clk?jk=3e912c00f1cd7b87&fccid=26e916214f939c5b&vjs=3;['tableau', 'python', 'sql', 'big query']
6;DATA ENGINEER;;Klee Group;92350 Le Plessis-Robinson;Postedil y a 30+ jours;2,7;https://fr.indeed.com/rc/clk?jk=bf1a0c4a1c7169b7&fccid=9bf295c6d560185c&vjs=3;['aws', 'azure', 'agile']
7;Data Analyst Power BI / Tableau H/F;;Inetum;Clichy (92);Postedil y a 22 jours;3,0;https://fr.indeed.com/rc/clk?jk=57564765f068a2f4&fccid=e463fc7104734a53&vjs=3;['agile']
8;Ingénieur data pour métriques de Risques de Crédit-(H/F);;Société Générale;La Défense (92);PostedAujourd'hui;3,9;https://fr.indeed.com/rc/clk?jk=9da5370245b7f2f2&fccid=df6948c9b8da6236&vjs=3;['python', 'spark', 'sql', 'pyspark', 'modélisation', 'cartographie']
9;Data Analyst H/F;35 000 € - 40 000 € par an;CHRONOFRESH;75014 Paris 14e;Postedil y a 8 jours;;https://fr.indeed.com/company/CHRONOFRESH/jobs/Data-Analyst-493532861aacb1d2?fccid=c96906e6225be5a6&vjs=3;['tableau', ' excel ', 'sql', 'microstrategy', ' bo ', 'tableaux de bord', 'data visualisation']
10;Chef de projet Support & Data;36 000 € - 45 000 € par an;Temenis;Courbevoie (92);Postedil y a 1 jour;;https://fr.indeed.com/company/Temenis/jobs/Chef-Projet-Support-Data-fbeea57d3c703358?fccid=3756f746d5472b7e&vjs=3;['tableau', 'sql', 'itil']
11;Data Scientist;;Adevinta Group;Paris (75);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=7c1805522f7fb498&fccid=5aecff49966a6ffd&vjs=3;[]
12;DATA SCIENTIST NLP;;Aquila Consulting;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=6bc3c41036fe1321&fccid=5b684c1ade1de442&vjs=3;['tableau', 'python', 'modélisation', 'machine learning']
13;Consultant Data Engineer (F/H);;Micropole;92300 Levallois-Perret;Postedil y a 30+ jours;3,3;https://fr.indeed.com/rc/clk?jk=e511d1f569209f15&fccid=14835f3a1d6bbbcb&vjs=3;['talend', 'power bi', 'aws', 'azure', 'databricks', 'gcp', 'datawarehouse', 'modélisation', 'anglais', 'salesforce', 'data factory', 'data visualisation']
14;Consultant junior Data & Analytics - Neuilly (H/F);;Grant Thornton;92200 Neuilly-sur-Seine;Postedil y a 30+ jours;3,7;https://fr.indeed.com/rc/clk?jk=10791e5d19037442&fccid=7ac82fceed64aa81&vjs=3;['power bi', 'python', 'sql', 'anglais', 'cartographie', 'big query', 'data visualisation']
