;title;wage;companyname;location;date;companynote;joblink;jobskills
0;DATA ENGINEER - DATA FACTORY (H/F);;Euro Information;67000 Strasbourg;Postedil y a 5 jours;3,9;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CiaXG9RnTHhD6myjqdQzQebkEv6ElGYuEhBDiA8baPiZzkLQRwXS7rrdI3ysvqTpij3lzIAk2jXPq5gkBugI2XTpO7LL0CtqU1a62fxFaakW4_Rsegci6IfolhawXHqocGEKVPiyCnlxI2TB-b8_TteSOIVqiTRZBdCDCnCY4ASVh2rWqzWI-gAbBkKlcMfMObDVqAyXMGWCJpGh0n6jbpeJHXHhOf3oZ8jQdveoSekyhqQ_Pfie5AIm-n7R9T3R1v84wVE9WRN5vE6Tny_bTXV7NZ6s7orr0cCZhZmi4jXKzrYh4AUpkAQJiwXIwNWKyngKIiBbTS2_5SGfa23CCzZzQKGTuof1nRaxnN1gvDG9St95x3sETyhVb7D-kf8QgoSlrxLVoyCyl6AnFt_ze0T4rZ4kaREvMmgzq2G9mAsbm-DmyhrbG8qWTA_BENUF9MURxEd1mSOBheb58vT_oaIvtlW_khzrXkxEjsRYGRF-Q5ql4wqXuJCQE_xo56p5-IGRglw64YTP5LeIj-4p9H&p=0&fvj=0&vjs=3;['modélisation', 'anglais', 'data factory', 'nifi']
1;Master data management (H/F);45 000 € - 50 000 € par an;Supplay;Gentilly (94);PostedPubliée à l'instant;3,7;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQuew479bbUp9SiGJV3RYPiWMYe2XRSYa9w1OxX7wyXvIjE5aDmlYYhhHxDuU_CJbecmSXrLB42F4PZoLL1AWHs21sPl8uYYJ2iq3EzV-jr2F6qgYIeKldA3Z1-rxjXnaiN3aMNCI8SSa-7r_MTVl2qJVaRQsoRDK3ElxqbHAdQ3qNvlOWbNtHmi4XlActzWrRKZncK9UEf99Yclsoaf3QvspKCX4nkA2HFlFP6LzgSTdFEQGzA3M98i3ZNkpL5EYR4pvrJmPpGJCUla_FZtAQN0fDCOMO24lHdZEg2N00gtDlh0iS2lrzZ-xaKfhYIMt_dNBY5Ku3ivg2uDEuGAKqGNN9PwlhBW__C1Y5xxxPnu1oF1xFkSg5WSHiZeV2V5NsjkNkffG1MAYy5zp75wNtZbPFgAlA74am2p6Ry5s54y-REjwvUx_Puv-I4cnHm6hCYjP5i2V_8SEvWBrhsjj2x9k7sWOpnzGmJBOiXHf5l-bfNi8za9cVc25yk9j8x_G6S0LwasKeu0HDWoXdYhRO&p=1&fvj=0&vjs=3;['qlik', ' excel ', 'sql', 'anglais', 'vba', ' sql']
2;DATA ANALYST (H/F);35 000 € - 50 000 € par an;Supplay;Lys-lez-Lannoy (59);PostedAujourd'hui;3,7;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQuew479bbUp9SiGJV3RYPiWMYe2XRSYa9w1OxX7wyXvIjE5aDmlYYhhHxDuU_CJYW6lqTlFP_JmGncfPteZKzoK4K1KMMB0cWiaqUf0HpnBINzANTLTW8IU_zsXOj6rX-0bzlF_nbZfTgum8S3tgGLDSfKSZUeKpi-kSBzo_gV7qBmQNWyChaw6aBUYcNWEb2jq3jZPRcOGp3debwoCVkVZU-M9bR6fH3ejmd2Y97q4YfZ26R2b8HbqzEo0xiYyOE_NLK4Lf1KVmYeSxndhRRUhP3YIybwFrIph8evRJ-Ij5880lKOXxB-HFQ8cF-N2AXe75-oQaTfMPPVfDQ7Ez6C4Hbi10727oWJNoJ4L-LfNc2BvDJx6r-ezJsJwB8MpPK3GaHPWII6aV6_iXybWgA56HTf6rsDRSFAFTCIZPIfsIYqEvbkAmUBE7hG-Pmfw87GFcBfbs7o4Xetc717Jfc99pkMylj24xpSKn7uGNRuIURbQmjZdi1G7IFkv4POBEOhKYD-m_DEDlpjBMBsVZz2435I52II50=&p=2&fvj=0&vjs=3;['tableau', 'power bi', 'azure', 'sql', 'postgresql', ' sql']
3;Data analyst Dataviz(F/H);;Digital Partners;75004 Paris 4e+ 1 lieu;Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=de5f7256c75e06ac&fccid=4f7c91e2885764ae&vjs=3;['datastage', 'qlik', 'aws', 'glue', 'db2', 'qliksense']
4;DEVELOPPEUR BI ETL (H/F);;Groupe Beaumanoir;Saint-Malo (35);Postedil y a 4 jours;3,0;https://fr.indeed.com/rc/clk?jk=6a97abe7c0c0ea36&fccid=fb80d41d85012ad7&vjs=3;[]
5;Data Engineer F/H;;SAS RECHERCHES ET HORIZONS;Télétravail in Montpellier (34);Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=4f0ba34b4bed5873&fccid=81b407ede6f136b6&vjs=3;[' git ', 'sql', 'anglais', 'mysql', 'scala', ' sas ', ' ann']
6;Expert ETL Talend (F/H);;Micropole;44000 Nantes;Postedil y a 1 jour;3,3;https://fr.indeed.com/rc/clk?jk=756f883057e0646a&fccid=14835f3a1d6bbbcb&vjs=3;['talend']
7;Analyste de données;;Arafer;Paris (75);PostedAujourd'hui;;https://fr.indeed.com/rc/clk?jk=7d2d9363e986e222&fccid=879f3a4e253cd8af&vjs=3;['python']
8;Ingénieur Data H/F;;Kaizen Solutions;Grenoble (38);Postedil y a 1 jour;;https://fr.indeed.com/company/Kaizen-IT/jobs/Ing%C3%A9nieur-Data-9d2f1ceff0ec9192?fccid=c1edd7669511bab9&vjs=3;['azure', 'python', 'spark', 'data lake', 'sql', 'databricks', 'ci/cd', 'agile', 'modélisation', 'anglais', 'scrum', 'data lake', 'data factory', ' sql']
9;Développeur ETL - Informatica H/F;;Keolis;75012 Paris 12e;Postedil y a 1 jour;3,4;https://fr.indeed.com/rc/clk?jk=b0429ad5939e169f&fccid=f04f421aef63b60c&vjs=3;['gestion des flux']
