;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Senior Data Scientist (H/F);;Allianz France;92042 La Défense;Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=9666d0cf4fa80714&fccid=bf422d4af99309b2&vjs=3;['gitlab', 'python', 'spark', 'sql', 'ci/cd', 'pyspark', 'agile', 'anglais', 'postgresql', 'scrum', 'elasticsearch', 'machine learning']
1;Data scientist Intelligence Artificielle F/H;;Bpifrance;Maisons-Alfort (94);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=6a1864d8ad5931c2&fccid=f8c0d47ed8e5c00b&vjs=3;['modélisation', 'machine learning']
2;Data Engineer H/F;45 000 € - 55 000 € par an;Cellenza;75008 Paris 8e;Recrutement régulier;;https://fr.indeed.com/company/Cellenza/jobs/Data-Engineer-751cec20a88a5f62?fccid=4dacd670d894abd9&vjs=3;['talend', 'python', 'spark', 'data lake', 'sql', 'databricks', 'airflow', 'ci/cd', 'scala', 'datalake', 'data lake', 'data factory']
3;DATA ENGINEER;;ippon;Paris (75);Postedil y a 29 jours;4,5;https://fr.indeed.com/company/Ippon/jobs/Data-Engineer-ac5d85c46584eeae?fccid=7a0c5f41f8d9c73b&vjs=3;['java', 'aws', 'azure', 'kafka', 'python', 'spark', 'sql', 'databricks', 'gcp', 'snowflake', 'agile', 'terraform', 'anglais', 'scala', 'intégration continue']
4;Data Analyst F/H;;MGEN;75748 Paris;Postedil y a 23 jours;3,0;https://fr.indeed.com/rc/clk?jk=bc508ef9b6115cbe&fccid=bcac10f5843638e7&vjs=3;['tableau', 'tableaux de bord']
5;Junior Data Engineer;;ORTEC;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=9fe9d18e9a256264&fccid=e7c5b6dbeaeea9b1&vjs=3;['tableau', 'powerbi', 'python', 'sql', 'scala', 'machine learning']
6;DATA ANALYST - JUILLET 2022;;Parfums Christian Dior;Neuilly-sur-Seine (92);Postedil y a 2 jours;4,2;https://fr.indeed.com/rc/clk?jk=263442b86ba9fa52&fccid=6a2be34af774e2bb&vjs=3;['tableau', 'anglais', 'tableaux de bord', 'google analytics', 'nifi']
7;Chargé(e) d’études – Data Analyst – Data Scientist Junior F/...;;HOLOMNIS;Hybrid remote in Neuilly-sur-Seine (92);Postedil y a 7 jours;;https://fr.indeed.com/rc/clk?jk=d371e49331744004&fccid=61f9f926a3fbb751&vjs=3;[' excel ', ' sas ', 'spss']
8;Consultant Data Junior F/H;;SYNERGY FRANCE;Hybrid remote in Paris 8e (75);Postedil y a 30+ jours;4,5;https://fr.indeed.com/rc/clk?jk=4a2b1ccffa8025fe&fccid=93a119666902490f&vjs=3;['talend', 'tableau', 'power bi', 'snowflake']
9;Data analyst BI (Tableau Desktop) - H/F;;Atradius;Hybrid remote in 92300 Levallois-Perret;Postedil y a 9 jours;4,1;https://fr.indeed.com/rc/clk?jk=d9c288b1fdfe8c5f&fccid=c2d9c34af42f5f11&vjs=3;['tableau', 'azure', 'sql', 'oracle', 'anglais', 'tableaux de bord']
10;DATA SCIENTIST KPOSDS2 F/H;;KEISENS DATA;Courbevoie (92);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=80cda2ae01dd4a8e&fccid=ff8c154a44b5e2f5&vjs=3;['modélisation']
11;Data Scientist Computer vision F/H;;Stéphane GEORGE;Courbevoie (92);Postedil y a 23 jours;;https://fr.indeed.com/rc/clk?jk=43818bcf7e2e8a26&fccid=b824b0b978c039c5&vjs=3;['tableau', 'python', 'modélisation', 'machine learning']
12;Data Scientist - France;;Dataiku;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=c0c2f9480964d217&fccid=4640437a3109c91f&vjs=3;['java', ' r ', 'python', 'spark', 'sql', 'pyspark', 'scala', 'machine learning', 'dataiku']
13;Consultant(e) Data Science;;HEKA;75008 Paris 8e;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=58d8d04960bb78a9&fccid=1ee9d0f3a458b8bd&vjs=3;['java', ' r ', 'python', 'anglais', 'linux', 'bash', 'machine learning', 'c++', 'matlab']
14;Data engineer;;Siderlog;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=216dd34745946b61&fccid=53589aabfad01960&vjs=3;['python', 'spark', 'hive', 'hadoop', 'cloudera', 'anglais', 'scala', 'nifi']
