;title;wage;companyname;location;date;companynote;joblink;jobskills
0;KERING Master Data Specialist;;Kering SA;Paris (75);Postedil y a 10 jours;;https://fr.indeed.com/rc/clk?jk=37325f47eb4f55c6&fccid=7e75676c181b75b8&vjs=3;['anglais', 'powerpoint']
1;CDI - Data Analyst (H/F);;Publicis Media;Télétravail in 75011 Paris 11e;Postedil y a 1 jour;3,3;https://fr.indeed.com/rc/clk?jk=dda09a371c9425ee&fccid=18d58239dbfc6097&vjs=3;['tableau', 'python', 'sql', 'tableaux de bord', 'machine learning', 'big query', 'data visualisation']
2;Data Scientist - Documents Analysis;;Shift Technology;Paris (75);Postedil y a 30 jours;;https://fr.indeed.com/rc/clk?jk=c5b3230348e1e79c&fccid=8fed3c2c731465ef&vjs=3;['scala']
3;Data Scientist (h/f) - Paris;;Simon-Kucher & Partners;Paris (75);Postedil y a 24 jours;;https://fr.indeed.com/rc/clk?jk=c7641f7c615ecb9d&fccid=2b1cf35f69376e5e&vjs=3;['qlik', 'java', 'tableau', 'powerbi', 'aws', 'docker', 'python', 'spark', 'sql', 'gcp', 'jira', 'modélisation', 'apache', 'linux', 'machine learning', 'data visualisation', 'c++']
4;Chargé-e de projets DATA (F/H);;BPCE SEF;Puteaux (92);Postedil y a 2 jours;3,3;https://fr.indeed.com/rc/clk?jk=dc4300921daf2562&fccid=68928fde239d7c6b&vjs=3;['tableau', 'power bi', 'sql', 'tableaux de bord', ' sas ', 'machine learning']
5;DATA SCIENCE CONSULTANT PARIS;;managementsolutions;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=d67a4951fe4229c4&fccid=f3eca80b6759548b&vjs=3;['python', 'hive', 'hadoop', 'matlab']
6;Data Engineer;;Morgan Stanley;75008 Paris;Postedil y a 18 jours;3,8;https://fr.indeed.com/rc/clk?jk=58e69d9011566864&fccid=0c39fb2c91742dcf&vjs=3;[]
7;Data scientist - (H/F);;Flatchr;Paris (75);Postedil y a 9 jours;;https://fr.indeed.com/rc/clk?jk=947af582675376a8&fccid=edebb94942c1a737&vjs=3;['aws', 'docker', 'python', 'sql', 'api rest', 'modélisation', 'mysql', 'elasticsearch']
8;Data Engineer (00S36G);;DXC Technology;La Défense (92);Postedil y a 25 jours;3,1;https://fr.indeed.com/rc/clk?jk=3da53f476fd98a6e&fccid=feaabf8e6a699d3c&vjs=3;['tableau', 'aws', 'azure', 'python', 'spark', 'data lake', 'sql', 'databricks', 'tableaux de bord', 'data lake', 'data factory']
9;Consultant(e) Senior - Data;;iQo;Paris (75);PostedAujourd'hui;;https://fr.indeed.com/company/IQO/jobs/Consultant-Senior-2c9951247e88ebb1?fccid=d496e765d6c33085&vjs=3;['anglais']
10;Data Analyst (H/F) - CDI - Paris;;papernest;Télétravail in 75019 Paris 19e;Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=eadf2f10f83e25ed&fccid=456a7b25d73c68f2&vjs=3;['tableau', 'python', 'sql', 'modélisation', 'anglais', 'tableaux de bord', 'vertica']
11;Data Scientist F/H;;CAMILLE FOURNET;75008 Paris 8e;Postedil y a 3 jours;2,5;https://fr.indeed.com/company/CAMILLE-FOURNET/jobs/Data-Scientist-F-H-a7e41418d690dc0d?fccid=e16c46fb8ac280dd&vjs=3;[' excel ', 'nifi']
12;Data Engineer Sénior (H/F);;24S.com;Paris (75);Postedil y a 8 jours;;https://fr.indeed.com/rc/clk?jk=a28931782e95d5cd&fccid=c323b0cf9aaa272e&vjs=3;['github', 'python', 'sql', 'airflow', 'bigquery', 'scala', 'gdpr']
13;Data Engineer junior F/H;38 000 € - 43 000 € par an;Ciorane;75015 Paris 15e;PostedAujourd'hui;;https://fr.indeed.com/company/Ciorane/jobs/Data-Engineer-Junior-F-H-8587c1d7c5471b87?fccid=a680266541085c21&vjs=3;['gitlab', 'python', 'spark', 'data lake', 'sql', 'gcp', 'airflow', 'ci/cd', 'pyspark', 'bigquery', 'agile', 'kanban', 'scrum', 'data lake', 'nifi']
14;Consultant(e) Junior Data Analytics H/F;;mc2i;Paris 8e (75);Postedil y a 30+ jours;3,7;https://fr.indeed.com/rc/clk?jk=0277158ca22c4f0a&fccid=cbd737e8437692ad&vjs=3;['agile']
