;title;wage;companyname;location;date;companynote;joblink;jobskills
0;LEAD DATA STREAMING ENGINEER H/F;55 000 € par an;SYNALTIC;Vincennes (94);Postedil y a 4 jours;;https://fr.indeed.com/company/SYNALTIC/jobs/Lead-Data-Streaming-Engineer-e723b9dd6bc4635e?fccid=a116ba3bfc8f1d71&vjs=3;['aws', 'azure', 'kafka', 'data lake', 'sql', 'agile', 'modélisation', 'anglais', 'apache', 'scala', 'data lake', ' sql']
1;Data Engineer H/F;3 333 € par mois;Adyoulike;Neuilly-sur-Seine (92);Postedil y a 26 jours;;https://fr.indeed.com/company/Adyoulike/jobs/Data-Engineer-2e72a89498729433?fccid=323a532cbcf3ddac&vjs=3;['java', 'jenkins', 'docker', 'python', 'spark', 'sql', 'airflow', 'ci/cd', 'bigquery', 'scala', 'nifi', ' ann']
2;Data Engineer / Visualization Expert H/F;;Abbvie;Rungis (94);Postedil y a 12 jours;4,0;https://fr.indeed.com/rc/clk?jk=6870e1dd0eac6b31&fccid=a3b51ece17c02aae&vjs=3;['qlik', 'python', 'spark', 'sql', 'pyspark', 'qliksense', 'agile', 'scala', 'machine learning', 'pandas', ' sql']
3;Data Engineer - GIS team (F/H/X);;MeilleursAgents;Paris (75);Postedil y a 26 jours;3,8;https://fr.indeed.com/company/Meilleurs-Agents/jobs/Data-Engineer-849815987c74a1c3?fccid=87569070559536a5&vjs=3;['docker', 'python', 'sql', 'gcp', 'modélisation', 'postgresql', 'cartographie', 'machine learning', 'nifi', ' ann', ' sql']
4;Data Engineer Lead F/M/X;;MARS;Paris (75)+ 1 lieu;Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=4338c73f197a7e83&fccid=6f49e88f14c18b75&vjs=3;[]
5;Data Engineer BI (F/H) – Lille;;IT-CE;Lezennes (59);Postedil y a 30+ jours;3,3;https://fr.indeed.com/rc/clk?jk=2fdaac054a4fe0f6&fccid=68928fde239d7c6b&vjs=3;['powerbi', 'azure', 'python', 'spark', 'sql', 'hadoop', 'datawarehouse', 'oracle', 'agile', 'cloudera']
6;DATA ENGINEER H/F;;42C;Télétravail temporaire in 75020 Paris 20e+ 1 lieu;Postedil y a 24 jours;4,4;https://fr.indeed.com/company/42c/jobs/Data-Engineer-2d5094680a8b95aa?fccid=9c8392732eab5553&vjs=3;['python', 'spark', 'hortonworks', 'sql', 'agile', 'cloudera', 'scala', 'datalake', ' sql']
7;DATA ENGINEER F/H;;REALISATION DE SYSTEMES INFORMATIQUES INTEGRES -...;Levallois-Perret (92);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=4e2189991db613e7&fccid=61395b3813c3c686&vjs=3;['java', 'kafka', 'python', 'agile', 'modélisation', 'scala', 'datalake', 'nifi']
8;Machine Learning Engineer;;Criteo;75009 Paris 9e;Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=fbd7c52400c3f6b2&fccid=d3ee4a7355a0fb60&vjs=3;['java', 'python', 'hadoop', 'scala', 'machine learning', 'c++', ' ann']
9;Data Engineer;;Evina;75003 Paris;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=cbc7f2940cce5435&fccid=0090829c5d491a69&vjs=3;['java', 'aws', 'kafka', 'python', 'data lake', 'redshift', 'scala', 'elasticsearch', 'data lake', 'data visualisation']
10;Data Engineer / DBA / MySQL;;Myrh Consulting;Puteaux (92);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=47f54bb88240877f&fccid=7c72f053a03a9d13&vjs=3;['ansible', 'python', 'sql', 'anglais', 'mysql', 'mariadb', 'linux', 'bash', 'elasticsearch', 'redhat', ' sql']
11;Front End Engineer Dataiku Online - Paris or Remote France;;Dataiku;Télétravail;Postedil y a 22 jours;;https://fr.indeed.com/rc/clk?jk=53fd719381b2d22a&fccid=4640437a3109c91f&vjs=3;['java', 'scala', 'dataiku']
12;ETL Semantic Data Engineer European Institution in Ispra - I...;;EKXEL IT Services & Financial Engineering;Télétravail;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=69f528d3cb9d5ab4&fccid=2bea0850b8ee84f6&vjs=3;['java', 'python', 'mongodb', 'scala', 'mongo']
13;Data Engineer F/H;;NODYA GROUP;Hybrid remote in Levallois-Perret (92)+ 1 lieu;Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=854dc5241bbc2d5f&fccid=a83acc0245128498&vjs=3;['tableau', 'powerbi', 'aws', 'azure', 'spark', 'hive', 'hadoop', 'anglais', 'nifi']
14;Data Engineer BI;;Meetic;Télétravail in 75009 Paris;Postedil y a 19 jours;3,8;https://fr.indeed.com/rc/clk?jk=91138602d9b63d72&fccid=08cedfdd897011ae&vjs=3;[]
