;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Chargé(e) d'études statistiques - Data Analyst F / H;;Allianz France;92400 Courbevoie;Postedil y a 14 jours;3,9;https://fr.indeed.com/rc/clk?jk=14e698da311217de&fccid=bf422d4af99309b2&vjs=3;['tableau', 'tableaux de bord']
1;Data Scientist H/F;;Cegid;Paris (75);Postedil y a 4 jours;3,0;https://fr.indeed.com/rc/clk?jk=c06d9c32fb6656d4&fccid=a80873c22d71ac44&vjs=3;['github', 'jenkins', 'docker', 'python', 'sql', 'agile', 'postgresql', 'scrum', 'machine learning', 'tensorflow', 'keras']
2;Junior Data Scientist H/F;35 000 € par an;Wakeo;Télétravail temporaire in 75009 Paris 9e;Postedil y a 23 jours;;https://fr.indeed.com/company/Wakeo/jobs/Junior-Data-Scientist-4c033e23cd9cf738?fccid=3c920848cbdc65f3&vjs=3;['python', 'anglais', 'machine learning', 'tensorflow', 'pytorch', 'nifi']
3;DATA ANALYST H/F;;Groupe M6;92200 Neuilly-sur-Seine;Postedil y a 30+ jours;4,1;https://fr.indeed.com/rc/clk?jk=f34babdb49a3ce50&fccid=d7e7edf695d3200e&vjs=3;['tableau', 'sql']
4;Data analyst;;Oh BiBi;75009 Paris 9e+ 1 lieu;Postedil y a 30 jours;;https://fr.indeed.com/rc/clk?jk=4000264bf63e3cbf&fccid=73ca5717fffee2c4&vjs=3;['python', 'sql', 'anglais', 'data visualisation']
5;Data Architect;;Ysance;92300 Levallois-Perret;Postedil y a 5 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Architect-1153102023446623?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'aws', 'azure', 'gcp', 'dataiku']
6;Data Scientist H/F;3 000 € - 4 567 € par mois;AiScreenings;Télétravail in Paris (75);Postedil y a 2 jours;;https://fr.indeed.com/company/AiScreenings/jobs/Data-Scientist-5c0abb614e65b49a?fccid=2a7cc90f6d26f432&vjs=3;['aws', 'azure', 'docker', 'python', 'agile', 'anglais', 'machine learning', 'tensorflow', 'pytorch', 'nifi']
7;Data Engineer | Rent SAAS | Full or Flexible Remote;;Free2move;Télétravail in 75009 Paris 9e;Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=2017f1b1a5de59c6&fccid=6ea60b15d7fefbd7&vjs=3;['docker', 'python', 'sql', 'agile']
8;Data Analyst;;Procter & Gamble;Paris (75);Postedil y a 24 jours;4,1;https://fr.indeed.com/rc/clk?jk=785f894d4e6e5e5b&fccid=2da0dedf6df97194&vjs=3;['powerbi', 'python', 'sql', ' sas ', 'spss', 'matlab']
9;Data Scientist H/F NLP;38 288 € - 73 935 € par an;MP DATA;92100 Boulogne-Billancourt;Postedil y a 3 jours;;https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-Nlp-30e077b688bb6824?fccid=9b246b5aaacc1ef2&vjs=3;['python', 'machine learning']
10;CDI - Data analyst F/H;;mediametrie;Paris (75)+ 1 lieu;Postedil y a 30+ jours;3,1;https://fr.indeed.com/company/MEDIAMETRIE/jobs/CDI-7d657e76b65ae763?fccid=613f70b9847bff16&vjs=3;['python', 'anglais']
11;Data analyst | Deals (M&A) | CDI | H/F;;PwC;Neuilly-sur-Seine (92);Postedil y a 29 jours;4,0;https://fr.indeed.com/rc/clk?jk=465dfe32d87cda9f&fccid=5e964c4afc56b180&vjs=3;['tableau', 'powerbi', 'python', 'machine learning', 'data visualisation']
12;Data Scientist H/F;;Dassault Aviation;Saint-Cloud (92);Postedil y a 30+ jours;4,2;https://fr.indeed.com/rc/clk?jk=3a3ec2819ee4e4b1&fccid=7da313065bcaa985&vjs=3;['python', 'spark', 'sql']
13;DATA ENGINEER H/F;;BNP Paribas;Paris (75);Postedil y a 12 jours;3,9;https://fr.indeed.com/rc/clk?jk=b98386d1e38f1889&fccid=1392500f835bba92&vjs=3;['python', 'sql', 'modélisation', 'anglais']
14;Data analyst H/F;;Bouygues Telecom;92100 Boulogne-Billancourt+ 1 lieu;Postedil y a 4 jours;3,8;https://fr.indeed.com/rc/clk?jk=35d1e371b79c74dc&fccid=aa1bd64e6087c10f&vjs=3;['tableau', 'tableaux de bord', 'business object']
