;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Chef de projet Recherche Clinique - H/F;;Siège Ramsay Santé;75017 Paris;Postedil y a 30+ jours;2,9;https://fr.indeed.com/rc/clk?jk=a314534af1064ffc&fccid=04d9eeec9f524f72&vjs=3;['nifi', ' ann']
1;Chef de Projet Digital (F/H);;Orpi;Clichy (92);Postedil y a 2 jours;3,7;https://fr.indeed.com/rc/clk?jk=5187656f4ab3fa8f&fccid=7dfb75bfbfe70201&vjs=3;[]
2;Chef de projet AMOA;;La France Mutualiste;Puteaux (92);Postedil y a 10 jours;3,9;https://fr.indeed.com/rc/clk?jk=b3ae02917e4c1956&fccid=eee03d1992aed86a&vjs=3;['agile', ' ann']
3;CDD - Chef de projet développement Make up Sephora Collectio...;;Sephora Collection;Neuilly-sur-Seine (92);Postedil y a 4 jours;3,8;https://fr.indeed.com/rc/clk?jk=fb81f250ef4b2aa9&fccid=afda98bfc8224b19&vjs=3;['anglais']
4;Chef de projet marketing JUMP;;JTI - Japan Tobacco International;92100 Boulogne-Billancourt;Postedil y a 19 jours;4,0;https://fr.indeed.com/rc/clk?jk=df39608e415b494d&fccid=09dc3054e100db9a&vjs=3;['agile', ' ann']
5;Chef de projet Event & Media H/F;;Piaget;75001 Paris;Postedil y a 5 jours;;https://fr.indeed.com/rc/clk?jk=eb4042bde732c994&fccid=3f3b1ff809b24322&vjs=3;[' ann']
6;CDI - Chef de projet digital H/F - Yves Rocher;;Groupe Yves Rocher;Issy-les-Moulineaux (92);Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=a188f209fcc21ff8&fccid=afcbba7ca395f114&vjs=3;[]
7;Chef de projet Développement Packaging (F/H);;Parfums Christian Dior;Neuilly-sur-Seine (92);Postedil y a 2 jours;4,2;https://fr.indeed.com/rc/clk?jk=d16b567316b86f3c&fccid=6a2be34af774e2bb&vjs=3;['anglais']
8;Chef de projet Support & Data;36 000 € - 45 000 € par an;Temenis;Courbevoie (92);Postedil y a 1 jour;;https://fr.indeed.com/company/Temenis/jobs/Chef-Projet-Support-Data-fbeea57d3c703358?fccid=3756f746d5472b7e&vjs=3;['tableau', 'sql', 'itil', ' sql']
9;Chef de Projet Digital Innovation (H/F);;Guerlain;Paris (75);PostedAujourd'hui;4,1;https://fr.indeed.com/rc/clk?jk=ec07053b9f9d5af3&fccid=f3225756b24da898&vjs=3;['anglais']
10;Chef de Projet (H/F) Construction Centrales Solaires;2 083 € - 4 057 € par mois;INGELIB;La Défense (92);Postedil y a 10 jours;;https://fr.indeed.com/company/INGELIB/jobs/Chef-Projet-Construction-Centrales-Solaires-8b1cfad27b680e1e?fccid=474f45831edc5ac4&vjs=3;['anglais', 'nifi']
11;Chef de Projet Marketing Opérationnel (F/H);;Guerlain;Paris (75);Postedil y a 9 jours;4,1;https://fr.indeed.com/rc/clk?jk=7e0a8400f6c40349&fccid=f3225756b24da898&vjs=3;[' ann']
12;Assistant(e) Chef de Projet Digital;;Chanel;92200 Neuilly-sur-Seine;Postedil y a 30+ jours;4,1;https://fr.indeed.com/rc/clk?jk=8b50c3b63b3f9ec2&fccid=20f48cf7726b0510&vjs=3;[]
13;Chef de projet Santé H/F;35 000 € - 38 000 € par an;Webhelp Medica;92100 Boulogne-Billancourt;Postedil y a 12 jours;2,9;https://fr.indeed.com/company/WEBHELP/jobs/Chef-Projet-Sant%C3%A9-96ba6d552186b5b8?fccid=50a010453174ca82&vjs=3;[' excel ', ' ann']
14;Chef de Projet;;Capgemini;Paris (75);PostedAujourd'hui;3,8;https://fr.indeed.com/rc/clk?jk=1ef9f828dce3f238&fccid=105ecfd0283f415f&vjs=3;['anglais', 'itil', 'prince2', 'nifi', ' ann']
