;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Engineer (H/F);;Sogeti;Toulouse (31);Postedil y a 4 jours;3,4;https://fr.indeed.com/rc/clk?jk=d7a714afcc3562d3&fccid=6eb97fc774cb61be&vjs=3;['qlik', 'java', 'github', 'gitlab', 'jenkins', 'tableau', 'kafka', 'docker', 'ansible', 'python', 'spark', 'hive', 'hortonworks', 'sql', 'hadoop', 'datawarehouse', 'jira', 'agile', 'confluence', 'cloudera', 'modélisation', 'anglais', 'kanban', 'scrum', 'mongodb', 'scala', 'elasticsearch', 'intégration continue', 'mongo', 'dataiku', 'hdfs', 'jupyter', ' sql']
1;Data Engineer (H/F);;CGI Inc;63000 Clermont-Ferrand+ 2 lieux;Postedil y a 30+ jours;3,6;https://fr.indeed.com/rc/clk?jk=3caf445db62a7ceb&fccid=43a69183767d4301&vjs=3;['datastage', 'talend', 'tableau', 'powerbi', 'azure', 'kafka', 'python', 'spark', 'sql', 'databricks', 'microstrategy', 'snowflake', 'oracle', 'agile', 'anglais', 'datalake', ' sql']
2;Data engineer - Performance Energétique - H/F;;Dalkia;Angers (49);Postedil y a 4 jours;3,8;https://fr.indeed.com/rc/clk?jk=0f4355192be7459e&fccid=7a9338296d17bca1&vjs=3;['qlik', ' r ', 'python', 'sql', 'modélisation', ' c# ', ' sql']
3;Data Engineer H/F;50 000 € par an;SIRIS ADVISORY;Télétravail in Paris (75);Postedil y a 26 jours;;https://fr.indeed.com/company/SIRIS-Advisory/jobs/Data-Engineer-88fbffc00480040c?fccid=85e642f479c6679c&vjs=3;['azure', 'airflow', 'big query']
4;Stage - Data Engineer (H/F) - Septembre 2022;;Chanel;92200 Neuilly-sur-Seine;Postedil y a 18 jours;4,1;https://fr.indeed.com/rc/clk?jk=9dbe667b5013f168&fccid=20f48cf7726b0510&vjs=3;['python', 'sql', 'terraform', 'scala', ' sql']
5;Data Engineer Big Data Informatica (IT);35 000 € - 53 000 € par an;Datapy Group;Hybrid remote in Charenton-le-Pont (94);Postedil y a 11 jours;;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOakjo4B2-N_SfFlCg-QCvnLOj-udvxLMGAg2-i80Xzrxwc0SHs69a4iNTi7Sgb0jfjWYjaBg6JgMTcEV85XyuFnKB8fzj0hl4pyPGmUyQRPsGQVJXS7QP3oJ6SSL7huVikXGiD7UJHByH48ssvYyJnE3P6AW9MaJJ5sXS3mukIrFus-sj12_pAj3cnNnPXzpvQiyPO7NtIG5T4kIuhLg_Cgu2ZjVx8W84g_RzZ0JtsMGESZZ3JonAiSiadmjyybG2bYAq6BFwJ_0OaWH3ejSmUjwS0cy2llVJWWDe3LCaH48N3wvBvTB89KHZowRvLkeVT5wK_xNIjz9wltbEzIABdW9Eq3vEl5bnsuvRApP5hQ29V48hCTb1A-yQDH4A8jxkf-EUO1pTTt-ZjUOMiwDQ7j-Q3qrCu1hRkImDVQ-539hNMmmwBQL5XU_rxqifAOF5EkwNHidts6hqKmjth1DlCq_Q7fiNhX5wJFRtvQdx0g9Y6v-5Xluz1ngmFmfKi-KP6SpIAGin7Fs0rkshd8OweUJPwiz3mWE_CGazQkqQ0j4HrCaUBu1qxQfUpbCFhxg5YIJLn3_-lfvSRLeR_R9Ln1WGVEPbhrwEHm8jbXfTMPC0OzWQfjEeKel4E9ZYT_k6CT_7kHp02gu0&p=5&fvj=0&vjs=3;[]
6;Data Engineer (F/H);;AXA;Suresnes (92);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=f7165a5d9ff508bb&fccid=e4146564811f8846&vjs=3;['azure', 'kafka', 'docker', 'python', 'spark', 'sql', 'databricks', 'ci/cd', 'anglais', 'scala', 'datalake', 'data visualisation', ' sql']
7;Machine Learning Ops Engineer;;Integral Ad Science;Paris (75);Postedil y a 15 jours;;https://fr.indeed.com/rc/clk?jk=dab558b74667bf63&fccid=1dc32badf02d6835&vjs=3;['aws', 'docker', 'python', 'spark', 'ci/cd', 'hadoop', 'agile', 'machine learning', 'tensorflow', 'pytorch']
8;Data Engineer H/F;;HomeServe;Lyon (69);Postedil y a 30+ jours;3,5;https://fr.indeed.com/rc/clk?jk=df6e29b78f42f229&fccid=b0d25f39359c6989&vjs=3;['talend', 'tableau', 'python', 'data lake', 'sql', 'gcp', 'airflow', 'bigquery', 'agile', 'machine learning', 'data lake']
9;Data Engineer ( H/F) CDI;;Lesaffre;59700 Marcq-en-Barœul;Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=99fdb1b971e599e4&fccid=ec552f10a5061693&vjs=3;['jenkins', 'aws', 'azure', 'kafka', 'docker', ' r ', 'python', 'sql', 'databricks', 'gcp', 'oracle', 'mysql', 'mongodb', 'scala', 'machine learning', 'mongo', 'dataiku', 'web scraping', ' sql']
10;Junior Data Engineer (M/F/D);;Dailymotion;75017 Paris;Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=562df4917804be5e&fccid=26e916214f939c5b&vjs=3;['java', 'kafka', 'docker', 'python', 'spark', 'data lake', 'sql', 'gcp', 'airflow', 'bigquery', 'apache', 'scala', 'linux', 'bash', 'machine learning', 'data lake', 'nifi', ' sql']
11;Data Engineer Azure;;ATLANSE;Paris (75);Postedil y a 5 jours;;https://fr.indeed.com/company/ATLANSE/jobs/Data-Engineer-Azure-3a478e0e21e6412c?fccid=42b85fc38eb37ed5&vjs=3;['github', 'azure', 'spark', 'sql', 'databricks', 'datawarehouse', 'jira', 'agile', 'modélisation', 'anglais', 'cartographie', 'scala', 'data factory', 'nifi', ' sql']
12;STAGE - Data Engineer (F/H);;alteca;Dijon (21);Postedil y a 30+ jours;3,3;https://fr.indeed.com/rc/clk?jk=097696491e846619&fccid=5fc9f025f573e218&vjs=3;['cartographie']
13;Data Viz Engineer;;Thales Group;Brest (29);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=53a8f9707b77c8f1&fccid=b920aab5fd60595d&vjs=3;['qlik', 'power bi']
14;Senior Data Engineer;;Salsify;Paris (75);Postedil y a 6 jours;;https://fr.indeed.com/company/Salsify/jobs/Senior-Data-Engineer-52e7ca790c7c6354?fccid=04dc0741f195e6a3&vjs=3;['java', 'azure', 'python', 'spark', 'data lake', 'hive', 'terraform', 'apache', 'scala', 'elasticsearch', 'datalake', 'data lake']
