;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Analyst / Engineer;;Shift Technology;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/company/Shift-Technology/jobs/Data-Analyst-ca392a5ee61e12bd?fccid=5faaa74d4dc34708&vjs=3;['sql']
1;Data engineer Big Query (H/F);;Insitoo;Lille (59);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=001d228203978dc9&fccid=8dfd3dd7e13d6913&vjs=3;['gcp', 'big query', 'nifi']
2;Data Engineer - H/F;;ADEO Services;59790 Ronchin;Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=a0792cea4b4735b6&fccid=30bc06cd006faa80&vjs=3;['java', 'python', 'sql', 'gcp', 'airflow', 'ci/cd', 'agile', 'modélisation', 'anglais', 'scala', 'flask', 'big query', ' sql']
3;DATA ENGINEER / ML OPPS / ML ENGINEER;;Aquila Consulting;Courbevoie (92);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=d96c919804bbc333&fccid=5b684c1ade1de442&vjs=3;['github', 'jenkins', 'aws', 'azure', 'docker', 'python', 'spark', 'sql', 'ci/cd', 'hadoop', 'postgresql', 'mysql', 'scala']
4;Data Engineer F/H;;ADDIXDATA;Valbonne (06);Postedil y a 22 jours;;https://fr.indeed.com/rc/clk?jk=922f0996569c8b24&fccid=d835ba4d39c70802&vjs=3;['azure', 'python', 'databricks', 'agile', 'machine learning']
5;Software and Data Engineer;;The Elitives;Télétravail;Postedil y a 7 jours;;https://fr.indeed.com/rc/clk?jk=4d80d07830c9eaf3&fccid=b5ae68ac014f588f&vjs=3;['java', ' excel ', 'sql', 'c++', ' sql']
6;Intelligence Data Engineer (m/f);;Airbus;Paris (75);Postedil y a 30+ jours;4,2;https://fr.indeed.com/rc/clk?jk=607588405fd28746&fccid=2d0740e02e80cf22&vjs=3;['java', 'docker', 'ansible', 'python', 'sql', 'agile', 'postgresql', 'scrum', 'mongodb', 'linux', 'bash', 'elasticsearch', 'tensorflow', 'mongo', 'nifi']
7;Data Engineer H/F;50 000 € par an;SIRIS ADVISORY;Télétravail in Paris (75);Postedil y a 26 jours;;https://fr.indeed.com/company/SIRIS-Advisory/jobs/Data-Engineer-88fbffc00480040c?fccid=85e642f479c6679c&vjs=3;['azure', 'airflow', 'big query']
8;Machine Learning Engineer Intern;;Criteo;75009 Paris 9e;Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=491ec8519ac39d42&fccid=d3ee4a7355a0fb60&vjs=3;['java', 'python', 'scala', 'machine learning']
9;Data Scientist_Machine Learning Engineer;;Vitesco Technologies;Toulouse (31);Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=2bd1be61c70264cc&fccid=ba5886a360bb24d7&vjs=3;['aws', 'python', 'sql', 'machine learning', 'tensorflow', 'pytorch', 'c++', 'problem solving', 'plotly', ' sql']
10;Data Engineer - Stage H/F;;Data Impact;Paris (75);Postedil y a 2 jours;;https://fr.indeed.com/rc/clk?jk=b34b317c950e5764&fccid=c309915f40affd15&vjs=3;['python', 'sql', 'anglais', 'flask', 'django', 'mongo', 'pandas', ' sql']
11;STAGIAIRE - DATA SCIENTIST CLIMAT;;Generali France;93200 Saint-Denis;Postedil y a 30+ jours;3,5;https://fr.indeed.com/rc/clk?jk=8f08709efb4b2893&fccid=0b573984d9046c5e&vjs=3;[' r ', 'python', 'prédiction']
12;Data Engineer / MLOPS F/H;;MANGROVE;Bordeaux (33);Postedil y a 16 jours;;https://fr.indeed.com/rc/clk?jk=46593c0fe45f3a73&fccid=3e834b58c763315f&vjs=3;['aws', 'python', 'spark', 'pyspark', 'glue', 'machine learning', 'pandas']
13;Software Engineer Onboarding eXperience - Paris or Remote Fr...;;Dataiku;Télétravail;Postedil y a 16 jours;;https://fr.indeed.com/rc/clk?jk=aef7f05f24941d9e&fccid=4640437a3109c91f&vjs=3;[]
14;Data Plateform Engineer Socle Big Data - H/F (93);;iMSA;93000 Bobigny+ 2 lieux;Postedil y a 30+ jours;3,7;https://fr.indeed.com/rc/clk?jk=013e6bbde5112cbf&fccid=740577aec12383a1&vjs=3;['java', ' git ', 'jenkins', 'tableau', 'kafka', 'elk', 'python', 'hive', 'maven', 'hortonworks', 'hadoop', 'agile', 'cloudera', 'tableaux de bord', 'scrum', 'scala', 'linux', 'intégration continue', 'nifi', ' ann']
