;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Product Owner Banque et Assurance (F/H);;Novencia;Paris (75);Postedil y a 3 jours;5,0;https://fr.indeed.com/rc/clk?jk=cfbb4bd94c4f7bd0&fccid=7cce756ee5dd33e7&vjs=3;['sql', 'agile', 'scrum', ' sql']
1;Chef de produit/Product Owner abonnements Junior H/F;;LIBERATION;Télétravail in 75015 Paris 15e;Postedil y a 1 jour;4,0;https://fr.indeed.com/company/LIBERATION/jobs/Chef-Produit-Product-Owner-Abonnements-Junior-6cb6b0020b0a1cb8?fccid=5c120607e1b5d76f&vjs=3;['jira', 'agile', 'confluence', ' ann']
2;Product owner/ Project manager advanced (H/F);;autobiz;Courbevoie (92);Postedil y a 1 jour;3,0;https://fr.indeed.com/company/AUTOBIZ/jobs/Product-Owner-d57171d80423ba94?fccid=17f4236a40d7d727&vjs=3;['agile', 'anglais', 'scrum', 'nifi']
3;Product Owner Digital (H/F);;Redsen Consulting;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=5ab1ec52472f4eae&fccid=f41d2ee8f2d0b2ee&vjs=3;['agile', 'anglais', 'scrum']
4;Product owner junior (F/H);45 000 € par an;autobiz;Courbevoie (92);Postedil y a 30+ jours;3,0;https://fr.indeed.com/company/AUTOBIZ/jobs/Product-Owner-Junior-3c2c461251b291d0?fccid=17f4236a40d7d727&vjs=3;['tableau', 'agile']
5;PRODUCT OWNER DATA F/H;;Française des Jeux;Boulogne-Billancourt (92);Postedil y a 1 jour;4,1;https://fr.indeed.com/rc/clk?jk=1125e79d0cab77ad&fccid=1a9c24f57953e3bd&vjs=3;['agile', 'scrum']
6;Product Owner / Product Manager Web-Mobile;;TESSAN;Télétravail;Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=32487f2d38ca4d3d&fccid=c8aa591f798237d5&vjs=3;['agile', 'anglais', 'cartographie', 'nifi']
7;Product Owner (H/F);;Shippeo;Paris (75);Postedil y a 8 jours;;https://fr.indeed.com/rc/clk?jk=4078e4ead7fd8c36&fccid=249eab8486c49b53&vjs=3;['agile']
8;Product Definition Analyst - Traveler DNA;;Amadeus;Nice (06);Postedil y a 1 jour;3,9;https://fr.indeed.com/rc/clk?jk=70e366aa51d28830&fccid=d116fab42b834cb9&vjs=3;['agile']
9;Product Owner Data lake groupe - F/H;;BPCE SA;Paris (75)+ 1 lieu;Postedil y a 3 jours;3,3;https://fr.indeed.com/rc/clk?jk=7d79bbe3a5607026&fccid=68928fde239d7c6b&vjs=3;['data lake', 'hadoop', 'agile', 'data lake', 'data factory']
10;CDI - Product Owner Digital Order (F/H);;Sephora;Neuilly-sur-Seine (92);Postedil y a 22 jours;3,8;https://fr.indeed.com/rc/clk?jk=2239c097d14eca37&fccid=afda98bfc8224b19&vjs=3;['jira', 'agile', 'confluence', 'modélisation', 'anglais', 'scrum', 'salesforce', 'nifi']
11;Alternance - Stage de césure - Assistant(e) Product Owner (a...;1 440 € par mois;HYPE;Télétravail in 92110 Clichy;Postedil y a 3 jours;;https://fr.indeed.com/company/HYPE/jobs/Alternance-6f81f5bfe5494ec5?fccid=a9a186aaa04ff944&vjs=3;['anglais', ' ann']
12;Product Owner (H/F);40 000 € - 43 000 € par an;EDITIONS WEKA;Télétravail in 93200 Saint-Denis;Postedil y a 17 jours;;https://fr.indeed.com/company/GROUPE-WEKA/jobs/Product-Owner-48f7d6e746350c64?fccid=9a32ac27538879e3&vjs=3;[]
13;Apprenti Product Owner H/F;13 000 € - 15 000 € par an;Groupe AVEC;Vincennes (94);Postedil y a 2 jours;;https://fr.indeed.com/company/Groupe-AVEC/jobs/Apprenti-Product-Owner-316e47b5607eea7a?fccid=cfbf82b1918ce713&vjs=3;['agile', ' ann']
14;ALTERNANCE – Proxy Product Owner - A POURVOIR DES QUE POSSIB...;;Chanel;92200 Neuilly-sur-Seine;Postedil y a 30+ jours;4,1;https://fr.indeed.com/rc/clk?jk=3bbee1c0857e978e&fccid=20f48cf7726b0510&vjs=3;['agile', 'scrum', 'nifi']
