;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Engineer Talend F/H;;ACSSI;Hybrid remote in Villeneuve-d'Ascq (59);Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=fe9dbbe11be95b22&fccid=24ad1152e9349c3b&vjs=3;['talend', 'java', 'sql', 'modélisation', 'anglais', ' ann', ' sql']
1;Data Analyst F/H;;SHAPE IT;Lyon 2e (69);Postedil y a 6 jours;;https://fr.indeed.com/rc/clk?jk=a1c16f13fa217329&fccid=57dc94e5f4d1d614&vjs=3;['talend', 'tableau', 'powerbi', 'power bi', 'python', 'sql', 'modélisation', 'tableaux de bord', 'ssrs', ' ann']
2;CONSULTANT(E) POWER BI & AZURE - H/F;;Talan;Lyon (69);Postedil y a 4 jours;3,0;https://fr.indeed.com/rc/clk?jk=3dcf49d567864a98&fccid=9b33f1f43112d3cb&vjs=3;['power bi', 'azure', 'kanban', 'scrum', 'data factory', ' ann']
3;Data Engineer F/H;;Voyage Privé;Aix-en-Provence (13);Postedil y a 1 jour;3,4;https://fr.indeed.com/company/Voyage-Priv%C3%A9/jobs/Data-Engineer-F-H-ba950c4620199760?fccid=37029f0f039fb727&vjs=3;['github', 'gitlab', 'tableau', 'docker', 'python', 'spark', 'sql', 'airflow', 'ci/cd', 'hadoop', 'bigquery', 'apache', 'scala', 'elasticsearch', 'machine learning', 'dataiku', 'yarn', ' ann', ' sql']
4;Chef de projet Data Management Service (F/H);;Micropole;92300 Levallois-Perret;Postedil y a 6 jours;3,3;https://fr.indeed.com/rc/clk?jk=4c822b2358ec5dc2&fccid=14835f3a1d6bbbcb&vjs=3;['datastage', 'talend', 'aws', 'azure', 'gcp', 'agile', 'anglais', 'salesforce', ' c ']
5;Analyste BI F/H;;Jaguar Network;Marseille 1er (13);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=18b894ad8ed6ae37&fccid=f4bae5057af00c6e&vjs=3;['talend', 'tableau', 'powerbi', 'sql', 'datawarehouse', 'modélisation', 'tableaux de bord', 'postgresql', ' sql']
6;DÉVELOPPEUR BIG DATA H/F;;gfi;93400 Saint-Ouen;PostedAujourd'hui;3,0;https://fr.indeed.com/rc/clk?jk=dc231ddc988ca049&fccid=e463fc7104734a53&vjs=3;['talend', 'java', 'python', 'spark', 'hive', 'sql', 'hadoop', 'oracle', 'agile', 'anglais', 'scrum', 'scala', 'machine learning', ' sql']
7;Consultant Data Management Services Confirmé (F/H);;Micropole;92300 Levallois-Perret;Postedil y a 6 jours;3,3;https://fr.indeed.com/rc/clk?jk=c6a0f19c960395f7&fccid=14835f3a1d6bbbcb&vjs=3;['datastage', 'talend', 'aws', 'azure', 'gcp', 'modélisation', 'anglais', 'salesforce']
8;INGÉNIEUR DÉCISIONNEL H/F;;gfi;Montpellier (34);PostedAujourd'hui;3,0;https://fr.indeed.com/rc/clk?jk=1d230553939814b3&fccid=e463fc7104734a53&vjs=3;['qlik', 'talend', 'sql', 'oracle', 'agile', 'ssrs', 'ssas', 'business object', ' sql']
9;Consultant Data Management Services Senior (F/H);;Micropole;92300 Levallois-Perret;Postedil y a 6 jours;3,3;https://fr.indeed.com/rc/clk?jk=448a685aadf2653d&fccid=14835f3a1d6bbbcb&vjs=3;['datastage', 'talend', 'aws', 'azure', 'gcp', 'agile', 'modélisation', 'anglais', 'salesforce', ' c ']
